Type,TimeStamp,PositionX,PositionY,PositionZ,PlayerID
Movement,0,6,-30.5,-35,0
Movement,0.3533334,6,-30.52091,-35,0
Movement,0.4590601,6,-30.52091,-35,0
Movement,0.5627961,6,-30.52091,-35,0
Movement,0.662827,6,-30.52091,-35,0
Movement,0.7635527,6,-30.52091,-35,0
Movement,0.8654143,6,-30.52091,-35,0
Movement,0.969583,6,-30.52091,-35,0
Movement,1.075612,6,-30.52091,-35,0
Movement,1.178787,6,-30.52091,-35,0
Movement,1.283652,6,-30.52091,-35,0
Movement,1.38927,6,-30.52091,-35,0
Movement,1.491046,6,-30.52091,-35,0
Movement,1.59401,6,-30.52091,-35,0
Movement,1.695247,6,-30.52091,-35,0
Movement,1.799143,6,-30.52091,-35,0
Movement,1.901011,5.9,-30.52094,-34.86081,0
Movement,2.005198,5.591153,-30.52106,-34.4319,0
Movement,2.106879,5.136911,-30.52122,-33.83043,0
Movement,2.209389,4.552415,-30.52152,-33.35221,0
Movement,2.31059,3.887334,-30.52187,-32.99238,0
Movement,2.411734,3.283509,-30.52204,-32.55818,0
Movement,2.513972,2.994563,-30.52189,-31.86252,0
Movement,2.614118,2.76958,-30.52131,-31.13573,0
Movement,2.71699,2.572057,-30.52082,-30.40141,0
Movement,2.819028,2.378364,-30.52071,-29.66729,0
Movement,2.922081,2.146908,-30.52077,-28.78871,0
Movement,3.023952,1.960942,-30.52089,-28.05785,0
Movement,3.131435,1.841135,-30.52117,-27.31346,0
Movement,3.234617,1.830711,-30.52141,-26.55314,0
Movement,3.335223,1.736166,-30.5216,-25.80846,0
Movement,3.435291,1.279327,-30.52177,-25.20391,0
Movement,3.538044,0.8890679,-30.52188,-24.5558,0
Movement,3.646199,0.5794442,-30.52195,-23.93547,0

