Type,TimeStamp,PositionX,PositionY,PositionZ,PlayerID
Jump,4.08,-1.185994,-30.52272,-22.02171,0
Jump,14.14,-14.54401,-29.51732,19.51891,0
Jump,18,-16.82902,-29.51731,22.93168,0
Jump,30.74,26.81268,-30.61086,-13.0364,0
Jump,35.24,20.15168,-29.97687,-29.50964,0
Jump,36.06,25.57282,-29.29254,-29.63198,0
Jump,44.24,71.19827,-26.51732,-22.90847,0
Jump,45.36,71.19827,-26.51732,-22.90847,0
Jump,46.48,70.62086,-26.51731,-23.02582,0
Jump,47.74,62.71167,-29.48035,-25.5323,0
Attack,50.64,55.73603,-30.51534,-16.2537,0
Jump,54.42,62.59902,-30.06368,-2.979153,0
Jump,55.6,66.49707,-29.84874,-2.232112,0
Jump,56.78,64.53431,-30.00204,-0.4258241,0
Attack,60.12,70.37981,-26.5,-4.20546,0
Attack,60.7,70.39517,-26.51731,-2.87312,0
Attack,60.9,70.23119,-26.51732,-2.41331,0
Attack,61.42,69.76982,-26.59699,-1.137029,0
OpenMenu,806,453.5,0,70.01551,0
Attack,70.08,50.07833,-30.14515,-5.849478,0
Jump,80.64,-15.02798,-29.51732,8.395456,0
Jump,88.6,-16.5329,-29.51732,18.74291,0
Jump,89.82,-15.446,-29.51731,26.0952,0
Jump,92.64,-11.87156,-30.52182,11.34848,0
Jump,94.16,-15.67944,-29.51731,3.047881,0
Jump,95.64,-15.05831,-29.51731,-6.624108,0
Jump,97.3,-17.18409,-29.51731,-16.7318,0
Jump,103.34,9.327219,-30.51697,-28.79787,0
Jump,115.86,-14.00196,-29.51732,-20.58942,0
Jump,117.42,-16.9872,-29.51731,-11.33415,0
Jump,120.46,-21.11313,-29.51731,-1.392779,0
Jump,121.84,-23.20601,-29.51731,5.764206,0
Attack,123.56,-24.1289,-29.51731,7.095032,0
Attack,123.82,-24.4078,-29.51731,7.495709,0
Attack,124.54,-25.15714,-29.51731,5.911172,0
Attack,124.78,-25.60979,-29.51732,5.729052,0
OpenMenu,806,453.5,0,126.5122,0

